matched_pair_id,pair_source,pair_role,claim,pure_binary_label,original_verdict,normalised_rating,financial_matches,word_count,pair_has_shared_concept,pair_shared_concept_count,pair_concept_jaccard,pair_word_difference,date_published,url,claim_id,row_id,finance_relevant,label_valid,standalone_claim,no_editorial_framing,keep,audit_notes,automatic_editorial_flag,automatic_long_claim_flag,automatic_large_pair_length_gap,automatic_no_shared_concept,row_risk_score,audit_priority,audit_chunk_file,previous_pair_id,organisation,audit_origin,pre_audited,article_id,binary_label_name,finance_term_count,verdict,claim_normalised,financial_matches_list,financial_match_set,origin_priority,pair_pre_audited_count,automatic_large_length_gap
round2_politifact_025,PolitiFact,genuine,"Says HB2 has hurt North Carolina's economy by ""one-tenth of 1 percent of our annual GDP.""",genuine,true,True,['macroeconomy'],16,True,1,0.5,31,2017-03-07T00:00:00,https://www.politifact.com/factchecks/2017/mar/07/dan-forest/hb2-has-cost-north-carolina-hundreds-millions-doll/,63741,66227,yes,yes,yes,yes,,"Individually acceptable, but the pair is removed because the misleading counterpart is a quotation-attribution claim rather than an economic claim.",False,False,False,False,2,0,factors_audit_chunk_04_completed.csv,politifact_106,PolitiFact,round1_individually_valid,yes,,,,,says hb2 has hurt north carolina s economy by one tenth of 1 percent of our annual gdp,['macroeconomy'],{'macroeconomy'},0,1,True
round2_politifact_025,PolitiFact,misleading,"Says Donald Trump tweeted, ""Corona vaccine from Israel! Stock market up! Economy even stronger now! Besides US, Israel best at inventions: Judaism, olives. Wonderful vaccine, will stop Corona DEAD around world. Can't make vaccines when being bombed, not have been possible without peace I created in Israel!""",misleading,false,false,"['markets', 'macroeconomy']",47,True,1,0.5,31,2020-03-06T00:00:00,https://www.politifact.com/factchecks/2020/mar/06/viral-image/no-donald-trump-didnt-tweet-israel-has-coronavirus/,61520,63925,,,,,,,False,,,False,3,0,,,PolitiFact,reserve_unreviewed,no,80742.0,misleading,2.0,false,says donald trump tweeted corona vaccine from israel stock market up economy even stronger now besides us israel best at inventions judaism olives wonderful vaccine will stop corona dead around world can t make vaccines when being bombed not have been possible without peace i created in israel,"['markets', 'macroeconomy']","{'markets', 'macroeconomy'}",1,1,True
round2_politifact_024,PolitiFact,genuine,"""There are more job openings than there are people on unemployment"" in Iowa.",genuine,true,True,['employment'],13,True,1,0.5,15,2021-05-12T00:00:00,https://www.politifact.com/factchecks/2021/may/12/lindsay-james/low-unemployment-iowa-after-pandemic/,75840,78441,yes,yes,yes,yes,,"Individually acceptable, but the pair is removed because the misleading counterpart matched 'wage' only as a verb.",False,False,False,False,2,1,factors_audit_chunk_07_completed.csv,politifact_101,PolitiFact,round1_individually_valid,yes,,,,,there are more job openings than there are people on unemployment in iowa,['employment'],{'employment'},0,1,True
round2_politifact_024,PolitiFact,misleading,"Of every ""three dollars in food stamps for the needy, seven dollars in salaries and pensions the bureaucrats who are supposed to be taking care of the poor.""",misleading,pants-fire,false,"['employment', 'pension']",28,True,1,0.5,15,2013-03-19T00:00:00,https://www.politifact.com/factchecks/2013/mar/19/michele-bachmann/michele-bachmann-says-70-percent-food-stamp-fundin/,71010,73511,,,,,,,False,,,False,3,1,,,PolitiFact,reserve_unreviewed,no,70730.0,misleading,2.0,pants-fire,of every three dollars in food stamps for the needy seven dollars in salaries and pensions the bureaucrats who are supposed to be taking care of the poor,"['employment', 'pension']","{'employment', 'pension'}",1,1,True
round2_politifact_023,PolitiFact,genuine,"Says America spends ""over 17 percent of its GDP on health care costs when our closest competitor nations are spending about 12.""",genuine,true,True,['macroeconomy'],22,True,1,0.5,13,2011-12-25T00:00:00,https://www.politifact.com/factchecks/2011/dec/25/cory-booker/cory-booker-says-united-states-spends-more-17-perc/,69009,71510,yes,yes,yes,yes,,"Individually acceptable, but the pair is removed because the misleading counterpart is a political quotation-attribution claim.",False,False,False,False,2,2,factors_audit_chunk_04_completed.csv,politifact_116,PolitiFact,round1_individually_valid,yes,,,,,says america spends over 17 percent of its gdp on health care costs when our closest competitor nations are spending about 12,['macroeconomy'],{'macroeconomy'},0,1,True
round2_politifact_023,PolitiFact,misleading,"The federal government and the Federal Reserve were ""raising inflation,"" something that ""had nothing to do with … getting our economy back in line"" but rather to fund a ""war against a bunch of civilians.""",misleading,false,false,"['inflation', 'macroeconomy']",35,True,1,0.5,13,2023-11-21T00:00:00,https://www.politifact.com/factchecks/2023/nov/21/tiktok-posts/debunking-a-tiktok-claim-that-the-government-cause/,77840,80550,,,,,,,False,,,False,3,2,,,PolitiFact,reserve_unreviewed,no,85902.0,misleading,2.0,false,the federal government and the federal reserve were raising inflation something that had nothing to do with getting our economy back in line but rather to fund a war against a bunch of civilians,"['inflation', 'macroeconomy']","{'macroeconomy', 'inflation'}",1,1,True
round2_politifact_026,PolitiFact,genuine,"""U.S. agricultural & food exports are expected to increase more than $2 billion annually under #USMCA""",genuine,true,True,['trade'],16,False,0,0.0,0,2019-09-17T00:00:00,https://www.politifact.com/factchecks/2019/sep/17/roy-blunt/report-backs-blunt-claim-2-billion-increase-trade-/,74288,76829,yes,yes,yes,yes,,Rejected pair: misleading quotation lacks an identified speaker/context and the pair has a 29-word length gap.,False,False,True,True,2,3,factors_audit_chunk_01_completed.csv,politifact_178,PolitiFact,round1_individually_valid,yes,,,,,u s agricultural food exports are expected to increase more than 2 billion annually under usmca,['trade'],{'trade'},0,1,False
round2_politifact_026,PolitiFact,misleading,"Says Trump ""didn't campaign on cutting the debt"" … ""That's not what he promised to do.""",misleading,false,false,['debt'],16,False,0,0.0,0,2020-10-30T00:00:00,https://www.politifact.com/factchecks/2020/oct/30/ted-cruz/federal-debt-was-frequent-talking-point-during-tru/,60898,63276,,,,,,,False,,,True,3,3,,,PolitiFact,reserve_unreviewed,no,81466.0,misleading,1.0,false,says trump didn t campaign on cutting the debt that s not what he promised to do,['debt'],{'debt'},1,1,False
round2_politifact_027,PolitiFact,genuine,"""Household income among Hispanic Americans has just set a new record high.""",genuine,true,True,['income'],12,False,0,0.0,0,2018-11-01T00:00:00,https://www.politifact.com/factchecks/2018/nov/01/donald-trump/hispanic-household-income-record-high-donald-trump/,62424,64889,yes,yes,yes,yes,,"Individually acceptable, but the pair is removed because the misleading counterpart uses income only as a demographic descriptor.",False,False,False,True,2,4,factors_audit_chunk_05_completed.csv,politifact_029,PolitiFact,round1_individually_valid,yes,,,,,household income among hispanic americans has just set a new record high,['income'],{'income'},0,1,False
round2_politifact_027,PolitiFact,misleading,Bank of America just pledged $1 billion dollars to Black Lives Matter.,misleading,false,false,['banking'],12,False,0,0.0,0,2020-07-23T00:00:00,https://www.politifact.com/factchecks/2020/jul/23/facebook-posts/no-bank-america-didnt-pledge-donate-1-billion-blac/,61192,63580,,,,,,,False,,,True,3,4,,,PolitiFact,reserve_unreviewed,no,80473.0,misleading,1.0,false,bank of america just pledged 1 billion dollars to black lives matter,['banking'],{'banking'},1,1,False
