matched_pair_id,pair_source,pair_role,claim,pure_binary_label,original_verdict,normalised_rating,financial_matches,word_count,pair_has_shared_concept,pair_shared_concept_count,pair_concept_jaccard,pair_word_difference,date_published,url,claim_id,row_id,finance_relevant,label_valid,standalone_claim,no_editorial_framing,keep,audit_notes,automatic_editorial_flag,automatic_long_claim_flag,automatic_large_pair_length_gap,automatic_no_shared_concept,row_risk_score,audit_priority
grass_fact_check_019,Grass Fact Check,genuine,"""Wages in different sectors have grown significantly. A total of 24,800 new businesses have registered in the first six months of 2014 which is 737 more than that of the previous year. The turnover in the business sector exceeded GEL 21 billion in the fir",genuine,true,True,['employment'],45,True,1,1.0,35,2014-10-29T00:00:00,https://factcheck.ge/en/story/15026-wages-in-different-sectors-have-grown-significantly-a-total-of-24800-new-businesses-have-registered-in-the-first-six-months-of-2014-which-is-737-more-than-that-of-the-previous-year-the-tur,43787,43959,yes,yes,no,yes,no,Rejected pair: genuine claim is truncated mid-sentence and the pair has a 35-word length gap.,False,True,True,False,3,0
grass_fact_check_019,Grass Fact Check,misleading,The unemployment rate in Georgia is at a historic high,misleading,lie,False,['employment'],10,True,1,1.0,35,2022-06-06T00:00:00,https://factcheck.ge/en/story/40822-the-unemployment-rate-in-georgia-is-at-a-historic-high,44205,44378,yes,yes,yes,yes,no,Rejected pair: genuine claim is truncated mid-sentence and the pair has a 35-word length gap.,False,False,True,False,2,0
grass_fact_check_018,Grass Fact Check,genuine,"""Georgia is still among the poor countries. The GDP per capita equals GEL 6,000 with a total of 118 countries ranking higher. We doubled the GDP per capita after 2003. A minimum of a 7% or an 8% growth is necessary in order for this figure to double again",genuine,true,True,['macroeconomy'],49,True,1,1.0,32,2014-10-30T00:00:00,https://factcheck.ge/en/story/15044-georgia-is-still-among-the-poor-countries-the-gdp-per-capita-equals-gel-6000-with-a-total-of-118-countries-ranking-higher-we-doubled-the-gdp-per-capita-after-2003-a-minimum-of-a-7-or-an-8,43789,43961,yes,yes,no,yes,no,Rejected pair: genuine claim is truncated and the misleading claim uses an unidentified first-person speaker; 32-word length gap.,False,True,True,False,3,1
grass_fact_check_018,Grass Fact Check,misleading,"""Our government managed to achieve a 4.7%-4.8% economic growth rate last year. This is a huge success.""",misleading,false,False,['macroeconomy'],17,True,1,1.0,32,2015-02-11T00:00:00,https://factcheck.ge/en/story/16281-our-government-managed-to-achieve-a-4-7-4-8-economic-growth-rate-last-year-this-is-a-huge-success,43822,43994,yes,yes,no,yes,no,Rejected pair: genuine claim is truncated and the misleading claim uses an unidentified first-person speaker; 32-word length gap.,False,False,True,False,2,1
politifact_178,PolitiFact,genuine,"""U.S. agricultural & food exports are expected to increase more than $2 billion annually under #USMCA""",genuine,true,True,['trade'],16,True,1,1.0,29,2019-09-17T00:00:00,https://www.politifact.com/factchecks/2019/sep/17/roy-blunt/report-backs-blunt-claim-2-billion-increase-trade-/,74288,76829,yes,yes,yes,yes,no,Rejected pair: misleading quotation lacks an identified speaker/context and the pair has a 29-word length gap.,False,False,True,False,2,2
politifact_178,PolitiFact,misleading,"""We're going to be looking at $8 billion a day that we're going to be pouring into foreign countries in order to import that make-up fuel that we're going to need to take the place of what we could have gotten out of the gulf.""",misleading,pants-fire,False,['trade'],45,True,1,1.0,29,2011-06-03T00:00:00,https://www.politifact.com/factchecks/2011/jun/03/sarah-palin/palin-claims-loss-gulf-oil-production-gulf-will-co/,69711,72212,yes,yes,no,yes,no,Rejected pair: misleading quotation lacks an identified speaker/context and the pair has a 29-word length gap.,False,True,True,False,3,2
grass_fact_check_017,Grass Fact Check,genuine,"""Foreign remittances in 2020 increased by 9% as compared to the previous year and reached a record high of USD 1.88 billion. This is precisely as much as the foreign direct investments in the same period. This is the country's gross domestic product for a",genuine,true,True,['macroeconomy'],45,True,1,1.0,26,2021-01-25T00:00:00,https://factcheck.ge/en/story/39018--foreign-remittances-in-2020-increased-by-9-as-compared-to-the-previous-year-and-reached-a-record-high-of-usd-1-88-billion-this-is-precisely-as-much-as-the-foreign-direct-investments-in-the-same-period-this-is-the-country-s-gross-domestic-product-for-almo,43925,44097,yes,yes,no,yes,no,Rejected pair: genuine claim is truncated mid-sentence and the pair has a 26-word length gap.,False,True,True,False,3,3
grass_fact_check_017,Grass Fact Check,misleading,"""For the last two years, Georgia's economic growth exceeds 5% and this is the best performance in the region""",misleading,lie,False,['macroeconomy'],19,True,1,1.0,26,2020-02-12T00:00:00,https://factcheck.ge/en/story/38341--for-the-last-two-years-georgia-s-economic-growth-exceeds-5-and-this-is-the-best-performance-in-the-region,43626,43798,yes,yes,yes,yes,no,Rejected pair: genuine claim is truncated mid-sentence and the pair has a 26-word length gap.,False,False,True,False,2,3
politifact_002,PolitiFact,genuine,"""When a basketball player or football or baseball player from another team plays in Wisconsin, that one game's salary, they pay Wisconsin income tax on it. ... So, if for some reason we do not have the Brewers in Wisconsin all of those player salaries that generate dollars for the State of Wisconsin go away.""",genuine,true,True,"['tax', 'employment', 'income']",55,True,3,1.0,25,2023-05-12T00:00:00,https://www.politifact.com/factchecks/2023/may/12/robin-vos/yes-wisconsins-tax-coffers-would-take-a-hit-if-bre/,77427,80106,yes,yes,yes,yes,no,"Rejected pair: both claims are valid financial statements, but the 25-word length gap is too large for the matched design.",False,True,True,False,3,4
politifact_002,PolitiFact,misleading,"Says Joe Biden and Kamala Harris would raise the federal income tax rate for a person with a bi-weekly gross salary of $3,000 to 39.6%, costing ""nearly half your paycheck.""",misleading,false,False,"['tax', 'employment', 'income']",30,True,3,1.0,25,2020-08-26T00:00:00,https://www.politifact.com/factchecks/2020/aug/26/facebook-posts/another-widespread-facebook-post-spreads-false-cla/,61098,63481,yes,yes,yes,yes,no,"Rejected pair: both claims are valid financial statements, but the 25-word length gap is too large for the matched design.",False,False,True,False,2,4
